user,average_happiness_score,SWB
1tmac123456789,4.1,4.0
A_cag307,3.6470588235294117,8.0
Aibeit,4.666666666666667,8.0
AlexSC750,3.588235294117647,4.0
Atelene,2.3333333333333335,5.0
AveryhandsomeChilean,3.0,10.0
Barons2008,4.8,7.0
BeXaero,5.15,8.0
BenDover04me,1.0,7.0
BigTop5,4.8,5.0
Canners152,4.090909090909091,4.0
CatsAreNeato,3.7,5.0
CommanderOfPudding,3.6,7.0
CriticallyNormal,3.6842105263157894,10.0
DementedDon,,3.0
DesiderataVita,4.85,7.0
Don_McRon,3.3,4.0
DosMangos,3.3846153846153846,6.0
ElegantMankey,4.166666666666667,5.0
Fillerbear,2.3333333333333335,6.0
FreezeShot,2.7777777777777777,1.0
FrobyJ,3.6666666666666665,4.0
Glamorous_Penguin93,5.684210526315789,2.0
GoldyIsHere,2.9473684210526314,4.0
Hashtr0naut,5.105263157894737,6.0
Hotnerdhusband,5.5,2.0
IGotMetalingus1,3.176470588235294,6.0
IRiggedTheGame,4.166666666666667,8.0
Im_Gay_fyou,5.2,1.0
ItsyaboiNONBINARY,4.421052631578948,3.0
JacPhlash,5.5,8.0
Javizcool99,2.6315789473684212,4.0
JesusIsVeryGood,5.368421052631579,4.0
KingBenjamin97,1.0,2.0
LaughR01331,4.8,5.0
LostNotice,6.0,7.0
Marieschele,6.2105263157894735,10.0
Memejunkey,4.9,3.0
MidwesternCatholic,6.5,9.0
MrLeonVWF,4.071428571428571,1.0
NoFapperDeluxe,4.4,8.0
ObsceneOracle,3.55,4.0
PJ_Geese,6.0,6.0
Pabloma13,5.666666666666667,8.0
PerfectParfait5,4.578947368421052,1.0
PossiblyTrueInfo,4.882352941176471,3.0
PottrPppetPalamander,,8.0
RagePandazXD,9.0,6.0
RamblinBaller,3.5555555555555554,7.0
RetroPlay8,4.105263157894737,2.0
Sneezes,4.052631578947368,5.0
SocialismIsALie,3.85,9.0
Syncrinity,5.05,9.0
TeeEightchSea,3.05,7.0
Trathius,2.8,7.0
UnexpectedTokenNULL,4.45,7.0
UpInSmokeMC,3.0,2.0
_real_human__,3.3157894736842106,5.0
anonymous_chaos_,3.95,5.0
brandon5541,4.388888888888889,9.0
charliesfuckhead,4.25,4.0
chhotuu,2.642857142857143,2.0
company_suckup,3.65,6.0
confused1227,4.333333333333333,8.0
diobreads,4.666666666666667,1.0
disregardable,1.0,3.0
dog_piss33,3.8421052631578947,3.0
eric_the_demon,4.0,8.0
harlanb928,2.9473684210526314,5.0
iamlazyboy,5.0,3.0
jacobaslan,4.55,4.0
ldskyfly,4.2,9.0
miaDante09,4.866666666666666,8.0
nickmillerwallet,4.0,10.0
pedro_megagames,1.0,5.0
randomguy1972,5.2,10.0
realme857,4.6,4.0
tdm1742,4.2,3.0
toomuchtACKtical,3.857142857142857,4.0
xDerpyWolf,3.7,1.0
